name,team,league,age,position,match,min,tackle,intercept,foul,clear,block,goal,assist,SPG,keyP,Drb,fouled,avgP,PS,cross,longP,ThrP,mom,rating
asmir begovic,Everton,England,35, GK  ,1,90,0,0,0,3,0,0,0,0,0,0,0,25,64,0,5,0,1,7.82
kevin de bruyne,Man City,England,31," M(CLR),FW  ",27,2356,0.9,0.3,0.7,0.3,0.1,7,16,2.2,3.2,1.1,0.9,44.1,80.6,2.1,2.6,0.5,9,7.67
erling haaland,Man City,England,22, FW  ,32,2673,0.1,0.1,0.9,0.4,0.1,36,7,3.5,0.8,0.3,0.7,13.9,75.3,0,0.1,0.1,6,7.60
harry kane,Tottenham,England,29," AM(C),FW  ",36,3228,0.4,0.1,0.8,0.4,0.2,27,3,3.4,1.5,1.1,1.6,21.8,71.8,0.2,1.9,0.3,7,7.47
kieran trippier,Newcastle,England,32," D(LR),M(R)  ",36,3168,1.9,1.2,1.2,2,0.4,1,7,0.4,3,0.5,0.8,52.8,75.1,3.6,3.6,0.2,8,7.45
bruno fernandes,Man Utd,England,28, M(CLR)  ,34,3060,1.9,0.7,1.1,1.1,0.1,6,8,2.4,3.2,0.9,1.1,50.2,78,0.9,3.1,0.6,5,7.41
bukayo saka,Arsenal,England,21," D(L),M(CLR)  ",35,3045,1.7,0.4,1.1,0.4,0,13,11,2.4,2,1.7,1.7,32.5,80.6,1,0.9,0,4,7.40
gabriel jesus,Arsenal,England,26," AM(LR),FW  ",22,1895,1.3,0.4,1.7,0.4,0.1,10,5,3,1.2,1.8,2.3,25.5,81,0,0.6,0.1,3,7.38
solly march,Brighton,England,28, M(CLR)  ,31,2728,1.6,0.7,1.4,0.9,0.1,7,7,2.2,2,1.8,1.2,33.4,78.6,1.1,2.1,0.1,6,7.38
martin ødegaard,Arsenal,England,24, AM(CR)  ,35,2984,1,0.2,0.8,0.3,0.1,15,7,2.6,2.1,1.3,0.7,44.7,84,0.5,1.5,0.3,7,7.33
jack grealish,Man City,England,27," AM(CL),FW  ",23,2064,0.9,0.3,1,0.3,0.1,5,7,1.5,1.8,1.6,2.8,35.3,87.6,0.4,0.8,0.1,3,7.33
rodri,Man City,England,26," D(C),DMC  ",33,2819,1.9,1,1.4,1.1,0.4,2,6,1.5,0.9,0.7,0.6,84.6,91.2,0.1,4.9,0.1,3,7.31
daniel bentley,Wolves,England,29, GK  ,1,90,0,0,0,0,0,0,0,0,0,0,0,35,71.4,0,8,0,0,7.28
james maddison,Leicester,England,26, AM(CLR)  ,27,2351,1.6,0.5,1,0.1,0,10,9,2.9,2.4,1.5,2.7,34,79.1,1.2,1.8,0.2,3,7.28
gabriel martinelli,Arsenal,England,21," AM(L),FW  ",34,2806,0.9,0.3,1.1,0.3,0,15,5,2.2,1.6,1.7,1,27.1,82.4,0.5,1,0.1,4,7.25
ivan toney,Brentford,England,27, FW  ,33,2955,0.7,0.4,1.6,1.1,0.3,20,4,2.8,0.8,0.5,2.2,22.3,62,0.2,0.4,0.2,5,7.25
joelinton,Newcastle,England,26," AM(CLR),FW  ",30,2664,2.2,1.5,2,1.2,0.2,6,1,1.6,0.8,1.7,1.1,38.4,82.3,0.1,1.1,0,3,7.24
stefan ortega,Man City,England,30, GK  ,1,90,0,0,0,1,0,0,0,0,0,0,0,43,90.7,0,2,0,0,7.24
bruno guimarães,Newcastle,England,25, DMC  ,30,2555,2.4,1.1,1.4,0.6,0.1,4,5,0.9,1.3,1.5,2.6,49.7,84,0.1,3.3,0.3,1,7.22
rodrigo bentancur,Tottenham,England,25, M(C)  ,17,1506,2.5,1.1,1.3,1.2,0.8,5,2,0.8,0.6,1.2,0.4,47.6,85.2,0.2,1.3,0.1,1,7.22
aleksandar mitrovic,Fulham,England,28, FW  ,21,1845,0.6,0.1,1.4,0.9,0.2,12,1,4,0.7,1,1.6,20.5,61.1,0,1,0.1,4,7.14
mohamed salah,Liverpool,England,30," AM(CLR),FW  ",35,3117,0.5,0.2,0.6,0.1,0,19,10,3.2,1.7,1.3,0.9,29.4,78.4,0.3,0.6,0.2,3,7.14
ilkay gündogan,Man City,England,32, M(C)  ,26,2269,0.9,0.6,0.7,0.4,0.1,8,4,1.8,1.2,0.5,0.8,48.3,87.9,0.3,1.9,0.3,2,7.13
alexander isak,Newcastle,England,23, FW  ,15,1349,0.8,0.2,0.9,0.4,0.1,10,1,2.2,0.8,1.4,0.7,14.8,75.3,0.1,0.7,0.2,1,7.12
phil foden,Man City,England,22," AM(CLR),FW  ",19,1613,0.5,0.2,0.3,0.3,0,10,5,1.3,1.2,1.1,0.9,29.9,85.1,0.9,0.7,0.1,2,7.11
casemiro,Man Utd,England,31, DMC  ,21,1879,3.1,1.3,1.7,2.3,0.4,2,3,1,0.9,0.3,0.9,49.6,78.3,0.2,3.3,0.2,3,7.11
trent alexander-arnold,Liverpool,England,24," D(R),M(R)  ",32,2752,1.5,1.2,0.6,1,0.2,2,8,1,1.9,0.7,0.2,62.1,78.8,2,5.1,0.3,2,7.10
martin dúbravka,Newcastle,England,34, GK  ,0,66,0,0,0,0,0,0,0,0,0,0,0,15,80,0,4,0,0,7.09
reece james,Chelsea,England,23," D(CR),DMC,M(R)  ",14,1244,1.9,0.8,0.6,1.3,0.1,1,1,1,1.3,1.4,1.1,53.3,90.7,1.1,2.4,0,0,7.07
ethan pinnock,Brentford,England,29, D(C)  ,28,2520,1.7,1.3,0.2,7.2,0.9,2,0,0.4,0.3,0.1,0.4,36.5,79.6,0.1,1.6,0,1,7.07
marcus rashford,Man Utd,England,25," AM(CLR),FW  ",31,2752,0.6,0.2,0.4,0.4,0.1,16,5,2.9,0.8,1.5,0.7,22.2,77.9,0.2,0.8,0.1,6,7.06
riyad mahrez,Man City,England,32," AM(CLR),FW  ",19,1670,1,0.3,0.5,0.1,0,5,10,1.5,1.7,0.8,1.4,34.3,87.1,0.9,1.3,0.2,2,7.05
thomas partey,Arsenal,England,29," D(R),M(CR)  ",26,2307,2.2,0.8,1.1,1.2,0.2,3,0,0.9,0.8,1,0.7,57.2,87.5,0.1,3.3,0.2,1,7.05
alexis mac allister,Brighton,England,24," M(CL),FW  ",29,2668,2.1,0.7,1,0.3,0.1,10,1,2.6,1.2,1.2,1.5,52.6,87.4,0.3,1.9,0.2,3,7.05
joão cancelo,Man City,England,28," D(LR),M(R)  ",16,1279,1.7,1.1,0.8,0.4,0.1,2,1,1,0.7,1.8,1.1,64.4,86.8,0.7,2.2,0,1,7.04
felipe,Nottingham Forest,England,34, D(C)  ,14,1340,2.7,2.1,0.9,5.8,0.9,0,1,0.8,0.4,0.9,0.7,36.3,73.2,0,1.8,0,0,7.04
cody gakpo,Liverpool,England,24," AM(CL),FW  ",16,1342,1.1,0.2,1.2,0.1,0.1,6,2,1.8,1,1,1.5,17.4,78.2,0.1,0.3,0.1,0,7.03
kaoru mitoma,Brighton,England,26, M(L)  ,22,2115,1.4,0.5,0.8,0.2,0,7,4,1.5,1.2,1.9,0.8,28.1,83.1,0.1,0.7,0.1,4,7.03
pierre-emile højbjerg,Tottenham,England,27, M(C)  ,35,3133,1.6,1.4,1.1,1.7,0.5,4,5,0.9,0.9,0.9,1,64.5,88.6,0.2,4.5,0.2,3,7.02
declan rice,West Ham,England,24," D(C),DMC  ",34,3092,2.3,1.8,0.6,1.5,0.4,3,2,0.9,1,0.9,0.3,55.1,87.7,0.3,4,0,1,7.02
fabian schär,Newcastle,England,31, D(C)  ,34,3029,1.3,1.4,0.5,3.7,0.5,1,3,1.6,0.5,0.1,0.7,49.2,77.3,0.1,4.4,0.1,1,7.02
luis díaz,Liverpool,England,26, AM(L)  ,10,892,1,0.3,1.3,0,0,4,2,1.5,0.7,1.8,1.3,26.8,83.1,0.1,0.9,0,2,7.01
eberechi eze,Crystal Palace,England,24, AM(CLR)  ,28,2464,1.1,0.4,0.7,0.2,0,10,3,1.8,1.5,1.8,1.5,28.3,82.3,0.6,0.9,0.1,4,7.00
thiago silva,Chelsea,England,38, D(C)  ,24,2172,1.6,1.2,0.4,4.1,1,0,2,0.6,0.2,0.1,0.5,76.8,91.2,0,4.5,0,1,7.00
rúben neves,Wolves,England,26, DMC  ,32,2889,2.3,1.5,1,2.3,0.7,6,1,2,0.9,0.6,0.5,59.5,84,0.3,6.3,0.1,5,6.99
dwight mcneil,Everton,England,23, AM(CLR)  ,26,2322,1.7,0.9,0.6,0.8,0.2,7,3,1.4,1.3,1.5,0.6,20.2,76.9,1.3,0.8,0,4,6.99
leandro trossard,Brighton,England,28," M(CLR),FW  ",16,1326,0.6,0.4,0.6,0,0,7,2,2.4,1.4,0.9,0.8,29.5,74.4,0.6,1.6,0.2,2,6.99
callum wilson,Newcastle,England,31, FW  ,20,1798,0.3,0,0.7,0.1,0,18,5,2.4,0.8,0.4,1.1,8,67.5,0,0.1,0,4,6.98
ben mee,Brentford,England,33, D(CL)  ,35,3092,1.1,1.3,0.3,3.2,1,3,2,0.7,0.2,0.3,0.4,45.3,76.8,0,3,0,2,6.97
joão palhinha,Fulham,England,27, DMC  ,33,2933,4.3,1.3,1.3,1.8,0.2,3,0,1.2,0.2,0.4,1.5,36.7,83.1,0,2.5,0,2,6.97
pascal groß,Brighton,England,31," D(R),M(CR),FW  ",34,2976,1.6,0.4,0.9,0.5,0.3,8,7,1,2.1,0.4,0.5,55.6,85.6,1.4,2,0.1,2,6.97
granit xhaka,Arsenal,England,30," D(L),M(C)  ",34,2866,0.9,0.4,0.7,1.1,0.3,5,7,1.1,1.3,0.5,1.1,43.6,86.4,0.1,2,0.1,1,6.97
diogo dalot,Man Utd,England,24," D(LR),M(R)  ",23,2065,2.1,1.4,0.8,2,0.3,1,2,0.8,1.2,0.8,0.1,46,80.3,0.6,2.8,0,2,6.97
bernd leno,Fulham,England,31, GK  ,34,3060,0,0,0,0.7,0,0,0,0,0,0,0.1,33,76.1,0,4.4,0,3,6.96
michael olise,Crystal Palace,England,21, AM(CLR)  ,29,2577,1.5,0.7,0.7,0.4,0,2,10,1.3,1.8,1.5,1.9,30.9,78.3,1.5,1.3,0.1,4,6.96
virgil van dijk,Liverpool,England,31, D(C)  ,31,2746,0.9,0.9,0.4,4.1,0.5,3,1,1,0.2,0.1,0.1,80.5,90.4,0,4.7,0,2,6.96
willian,Fulham,England,34, AM(CLR)  ,23,1964,0.5,0.4,0.4,0.3,0,5,3,1.6,1.8,1.4,0.9,31.4,82.9,0.3,2,0.1,2,6.95
kenny tete,Fulham,England,27," D(CR),M(R)  ",27,2395,2.6,1.6,1.3,2.3,0.5,0,5,0.4,0.8,0.7,1.7,35.9,76.2,0.8,1.4,0,0,6.95
wesley fofana,Chelsea,England,22, D(C)  ,10,962,2.3,1.6,0.6,2.6,0.5,1,0,0.5,0.1,0.6,1.6,56.8,89.6,0.1,0.8,0,2,6.95
david raya,Brentford,England,27, GK  ,36,3240,0,0,0,0.6,0,0,0,0,0.1,0,0.2,38.6,60.9,0,10.8,0,3,6.95
marcus tavernier,Bournemouth,England,24, M(CLR)  ,19,1749,1.4,0.4,0.9,0.7,0.2,5,4,1.6,0.8,2,1.2,25.9,77.3,0.9,0.8,0,3,6.95
james tarkowski,Everton,England,30, D(C)  ,36,3240,1.3,1.3,1,5.2,2.1,1,1,0.8,0.4,0.3,0.6,43.3,81.3,0,3.3,0.1,1,6.95
n'golo kanté,Chelsea,England,32, M(C)  ,6,520,2.3,0.9,0.7,0.3,0,0,1,1.1,1.9,1.7,0.3,46.4,82.5,0.4,1.4,0.1,1,6.95
ollie watkins,Aston Villa,England,27," AM(LR),FW  ",34,2959,0.5,0.2,0.7,1.1,0.1,14,6,2.4,0.8,0.5,1,15.1,69.8,0.1,0.1,0,2,6.95
son heung-min,Tottenham,England,30," M(CLR),FW  ",31,2733,0.6,0.4,0.4,0.1,0.1,10,5,2.3,1.6,0.9,1.1,21.3,80.9,0.8,0.4,0.1,2,6.94
moisés caicedo,Brighton,England,21, DMC  ,32,2916,2.9,1.4,1.8,0.6,0.2,1,1,0.8,1.2,0.8,1.5,60.6,88.7,0.2,2.5,0.1,0,6.94
bryan mbeumo,Brentford,England,23," AM(LR),FW  ",34,2752,0.7,0.3,0.7,0.4,0,7,6,1.8,1.3,1.2,0.6,21.3,73.3,1.1,0.8,0.1,3,6.94
james ward-prowse,Southampton,England,28, M(CR)  ,36,3196,1.7,1.4,0.9,1.2,0.2,8,3,1.1,2,0.2,0.5,51.4,85.3,1.9,1.8,0,2,6.93
alisson,Liverpool,England,30, GK  ,36,3240,0,0,0,0.9,0,0,1,0,0,0.1,0.1,33.9,83.2,0,4.5,0,2,6.93
aaron wan-bissaka,Man Utd,England,25," D(R),M(R)  ",14,1256,1.9,1.2,0.6,1.8,0.4,0,0,0.5,0.8,0.9,0.1,36.4,83.5,0.2,1,0.1,0,6.93
lucas paquetá,West Ham,England,25," M(CLR),FW  ",25,2009,2.5,0.6,1.8,1.2,0.2,4,2,1.8,1,1,1.1,38.7,79.5,0.2,1.5,0.1,3,6.92
miguel almirón,Newcastle,England,29," AM(CLR),FW  ",27,2330,1.4,0.3,0.7,0.3,0.1,11,2,1.9,0.8,0.9,1,26.9,84.4,0.2,0.4,0,2,6.91
benoît badiashile,Chelsea,England,22, D(C)  ,10,904,1.3,1.5,0.8,3,0.2,1,0,0.5,0.3,0.1,0.5,77.7,89.7,0,3.5,0,0,6.91
yerry mina,Everton,England,28, D(C)  ,5,416,2.4,1,1.2,4.8,0.6,1,0,1,0,0.2,0.6,48.8,91,0,1.2,0,0,6.90
wesley fofana,Leicester,England,22, D(C)  ,2,180,2,4.5,1,2,0.5,0,0,1,0,1,1.5,69.5,84.2,0,1,0,0,6.90
christian nørgaard,Brentford,England,29," D(C),DMC  ",21,1771,2.4,1.5,1.6,1.8,0.4,1,3,0.9,0.5,0.4,0.9,36,76.3,0.1,1.4,0,0,6.90
luke shaw,Man Utd,England,27," D(CL),M(L)  ",28,2422,1.7,1.2,1.6,1.8,0.6,1,2,0.4,1.1,0.4,0.9,58.7,85.7,0.9,2,0,1,6.89
douglas luiz,Aston Villa,England,25, M(C)  ,31,2756,1.9,1.1,1.3,0.5,0.2,5,5,0.9,1.2,0.7,1.1,46.3,86.9,0.5,2.3,0.1,2,6.89
pedro porro,Tottenham,England,23," D(R),M(R)  ",12,1032,1.7,1.1,0.9,1.5,0.1,2,2,1.6,1.6,1.1,1.2,32.1,75.5,1.7,1,0.2,1,6.88
joe willock,Newcastle,England,23, M(C)  ,31,2578,1.5,0.7,1,0.4,0.2,3,6,1.7,1.1,1.1,0.7,25.4,85.1,0.4,1,0.1,2,6.88
emiliano martínez,Aston Villa,England,30, GK  ,34,2961,0,0,0,0.8,0,0,0,0,0.1,0,0.2,34.2,73.4,0,6.6,0,3,6.87
antony,Man Utd,England,23, AM(R)  ,21,1704,1,0.5,0.7,0.1,0,4,2,3,1.2,1.3,1,30.9,82.3,0.1,0.7,0,1,6.87
kepa arrizabalaga,Chelsea,England,28, GK  ,26,2296,0.1,0,0,1.2,0,0,0,0,0,0,0.3,30.6,80.1,0,4.2,0,2,6.86
oleksandr zinchenko,Arsenal,England,26," D(L),M(CLR)  ",26,2135,1.5,0.8,0.2,1.1,0.1,1,2,1,0.7,0.6,0.4,63.6,87.8,0.3,2.3,0.1,1,6.86
kalidou koulibaly,Chelsea,England,31, D(C)  ,20,1792,2,1.3,1,3.2,0.5,2,1,0.5,0.3,0.2,0.4,65.6,87.1,0,3,0,0,6.85
