teamname,goal,SPG,PS,aerialswon,blocks,tackles,intecept,foul,offside,SOTPG,Drb,fouled,rating
Manchester City,94,15.8,89.2,11.6,7.7,12.4,5.9,9.1,1.3,5.8,8.8,10.1,6.9
Arsenal,88,15.6,85.4,12.9,9,14.9,6.2,9.8,1.5,5.4,9.4,11.4,6.81
Newcastle,68,15,79.8,14.7,10.2,16,8.8,10.7,1.9,5.2,9.2,10.5,6.79
Manchester United,58,15.6,82.3,12.3,12.7,17.3,9.3,11.2,2.1,5.7,8.4,7.8,6.77
Liverpool,75,15.9,84.2,12.7,9.7,15.5,8.8,10.7,2.2,5.6,8.5,8.4,6.75
Brighton,72,16.1,85.9,11.7,10.2,16.2,8,11.2,1.8,6.1,9.1,10.7,6.72
Tottenham,70,13.6,83.4,14.6,13.7,16.2,8.9,11.2,1.8,5.2,8,9.3,6.71
Brentford,58,10.7,74.8,17.6,14.7,15.4,9,9.3,1.9,4.3,6.9,10.5,6.67
Aston Villa,51,11.3,81.1,11.7,11.3,16.7,8.5,11,1.5,4,7.7,13.1,6.65
Chelsea,38,12.7,85.8,13.1,11.5,19.5,9,10.4,1.9,4.2,9.9,12.2,6.62
Everton,34,11.3,77,15.3,15.2,18.6,10.3,10.4,1.7,4,8,10.1,6.62
Crystal Palace,40,11.2,79.3,13.1,12,18.2,9.4,11.7,1.5,3.6,9.7,12.6,6.61
Fulham,55,11.3,80,13.5,13.3,16.4,8.9,10.8,1.6,3.9,7.1,10.7,6.61
West Ham,42,12.5,78.2,16.4,13.1,16,10.7,9.5,1.6,3.8,6.4,8.3,6.6
Leicester,51,11,80.3,13.5,15.1,18.4,9.7,10.8,2.2,4,7.7,10.4,6.57
Bournemouth,37,9.4,77.5,13.8,16.5,16.3,9.3,10.3,1,3.5,8.4,9.6,6.53
Wolverhampton,31,10.8,81.3,12.3,14.6,17.4,7.3,12.2,1.6,3.3,9.9,10.2,6.51
Southampton,36,11,77.3,14.6,13.8,18.8,11.3,11.3,1.5,3.7,9.4,9.9,6.5
Leeds,48,12.2,74.9,15.5,13.9,22.1,10.3,12.3,1.6,3.8,7.1,10.7,6.5
Nottingham Forest,38,9.7,72.3,14.8,14.7,17.3,9.2,11.7,1.8,3.1,6.7,10.3,6.49
Napoli,77,16.2,87.8,12.8,9.6,15,7.6,10.2,1.6,5.9,8.9,12.3,6.81
Lazio,60,11.5,85.4,10.7,12.2,15.3,8.2,10.5,1.4,4.5,7.5,12.4,6.74
Inter,71,16.6,85.6,13.3,11.2,15.1,8.3,11.7,1.8,5.4,5.8,10.7,6.71
Juventus,56,14.1,83.6,12.8,12.3,15.6,8.1,12,1.6,4.7,7.7,10.8,6.71
AC Milan,64,14.5,82.6,14.8,10.7,18.2,7.6,11.8,1.6,4.9,9.7,11.5,6.7
Atalanta,66,13.5,80.6,15.2,11.8,16.7,11.1,12.4,1.5,4.7,9,10.1,6.67
Roma,50,13.1,81.3,14.4,10.4,16.4,9.7,11.7,1.5,4.4,7.3,13.3,6.64
Bologna,53,12.8,83,9.8,12.7,17,7.9,12.6,2,4.2,7.2,11.2,6.6
Fiorentina,53,15.9,82.3,15.5,9.1,15.3,6.8,12.8,1.5,4.9,8.5,13.4,6.6
Udinese,47,13.3,81.8,12.7,12.3,17.1,8.3,12.6,1.3,4,8.7,12.5,6.58
Torino,42,11.7,81.1,15.6,11.4,12.4,7.7,13.3,2.1,3.9,8.1,10.1,6.57
Monza,48,10.8,84.6,11.8,12.8,15.7,8.8,12.9,1.8,3.8,7.4,13,6.55
Empoli,37,11.8,80.3,11.5,16.1,15.9,7.4,11.6,1.4,3.4,8.2,12.1,6.53
Salernitana,48,10.1,78.7,14,15.6,15.4,8.7,12.4,1.8,3.1,6.9,11.6,6.51
Lecce,33,11,72.4,14.9,11.8,18.6,9.7,14.6,1.8,3,6.3,11.6,6.49
Sassuolo,47,12.8,82.5,9.9,12.7,13.2,7.3,10.7,1.1,4.5,7.9,11.7,6.48
Verona,31,10.9,70.7,21.4,14.2,15.9,8.9,14.2,2,3.2,7.2,10.1,6.47
Cremonese,36,12.2,75,14.8,15.3,18.5,10.3,12.1,1.8,3.5,6.3,10.7,6.47
Spezia,31,11.1,77.1,14.1,15.8,16.4,7.9,13.7,1.4,3.3,7.3,10,6.43
Sampdoria,24,9.9,78.2,16.4,15.8,15.5,8.3,13.3,1.4,3.1,6.8,13.5,6.41
Real Madrid,75,17,90.0,8.9,11.1,14.3,7.8,9.7,2.3,5.8,12.5,13.9,6.86
